item_id order_id truck_id unload x y z rotation_axis
100227 20044 13 2 8 515 855 -1
100228 20044 13 2 8 515 1710 -1
100229 20044 13 2 2638 505 610 -1
100230 20044 13 2 5268 505 610 -1
100231 20044 13 2 2638 505 1465 -1
100232 20044 13 2 5268 505 1465 -1
100042 20008 14 1 9781 444 730 -1
100043 20008 14 1 9781 444 1190 -1
100044 20008 14 1 9781 444 1650 -1
100233 20045 14 1 4026 269 2370 -1
100047 20010 14 2 4106 447 1550 -1
100048 20010 14 2 6331 447 1550 -1
100237 20047 14 2 4106 267 730 -1
100238 20047 14 2 4106 267 1140 -1
100162 20031 14 3 120 1222 0 -1
100163 20031 14 3 2350 67 0 -1
100164 20031 14 3 4580 67 0 -1
100165 20031 14 3 6810 67 0 -1
100166 20031 14 3 9040 67 0 -1
100167 20031 14 3 11270 67 0 -1
100168 20031 14 3 1876 74 730 -1
100169 20031 14 3 1876 1214 730 -1
100170 20031 14 3 1876 644 1460 -1
100171 20031 14 3 120 67 0 -1
100172 20031 14 3 2350 1207 0 -1
100173 20031 14 3 4580 1207 0 -1
100174 20031 14 3 6810 1207 0 -1
100175 20031 14 3 9040 1207 0 -1
100176 20031 14 3 11270 1207 0 -1
100117 20022 15 1 8850 45 0 -1
100118 20022 15 1 8850 363 300 -1
100119 20022 15 1 3250 130 1920 -1
100180 20034 15 2 3105 105 0 -1
100181 20034 15 2 3105 105 480 -1
100182 20034 15 2 3105 105 960 -1
100183 20034 15 2 3105 105 1440 -1
100030 20005 -1 -1 -1 -1 -1 -1
100031 20005 -1 -1 -1 -1 -1 -1
100032 20005 -1 -1 -1 -1 -1 -1
100033 20005 -1 -1 -1 -1 -1 -1
100034 20005 -1 -1 -1 -1 -1 -1
100035 20005 -1 -1 -1 -1 -1 -1
100036 20005 -1 -1 -1 -1 -1 -1
100037 20005 -1 -1 -1 -1 -1 -1
100049 20011 -1 -1 -1 -1 -1 -1
100050 20011 -1 -1 -1 -1 -1 -1
100051 20011 -1 -1 -1 -1 -1 -1
100052 20011 -1 -1 -1 -1 -1 -1
100053 20011 -1 -1 -1 -1 -1 -1
100054 20011 -1 -1 -1 -1 -1 -1
100055 20011 -1 -1 -1 -1 -1 -1
100056 20011 -1 -1 -1 -1 -1 -1
100057 20011 -1 -1 -1 -1 -1 -1
100058 20011 -1 -1 -1 -1 -1 -1
100093 20016 -1 -1 -1 -1 -1 -1
100094 20016 -1 -1 -1 -1 -1 -1
100115 20021 -1 -1 -1 -1 -1 -1
100116 20021 -1 -1 -1 -1 -1 -1
100177 20032 -1 -1 -1 -1 -1 -1
100178 20032 -1 -1 -1 -1 -1 -1
100217 20042 -1 -1 -1 -1 -1 -1
100218 20042 -1 -1 -1 -1 -1 -1
100239 20048 -1 -1 -1 -1 -1 -1
100270 20053 -1 -1 -1 -1 -1 -1
100271 20053 -1 -1 -1 -1 -1 -1
100272 20053 -1 -1 -1 -1 -1 -1
